mass_msun,snr_full_window,ratio_true_at_t0,start_M,trials,strong_fraction_dBIC_gt_10,positive_fraction_dBIC_gt_0,median_delta_bic,p10_delta_bic,p90_delta_bic,median_ratio_rec
30.0,12.0,0.0,0.0,100,0.0,0.0,-13.11835324702838,-14.02537503091196,-10.339739198461007,0.08706763746846281
30.0,12.0,0.0,10.0,100,0.0,0.0,-13.040720814482938,-13.983392851356985,-10.657429419896172,0.09481051914681599
30.0,12.0,0.0,20.0,100,0.0,0.0,-12.914357485524079,-13.930012141058706,-10.659003092146074,0.094961913487908
30.0,12.0,0.02,0.0,100,0.0,0.0,-12.668238278785907,-13.99646109626492,-10.14284663289481,0.09758112572959378
30.0,12.0,0.02,10.0,100,0.0,0.0,-12.719004841181572,-13.823627483895574,-9.620317356023724,0.10600227277761526
30.0,12.0,0.02,20.0,100,0.0,0.0,-12.84450421213296,-13.862508182429679,-9.193502224612393,0.09115480938856525
30.0,12.0,0.05,0.0,100,0.0,0.0,-12.38239181197548,-14.023039800448306,-7.577036749228066,0.0997379804512489
30.0,12.0,0.05,10.0,100,0.0,0.0,-12.459165155652727,-13.986583280689047,-8.597442848820219,0.11236853728820917
30.0,12.0,0.05,20.0,100,0.0,0.0,-12.376177930917947,-13.898701896891543,-8.446184077856785,0.11558655032508483
30.0,12.0,0.1,0.0,100,0.0,0.0,-11.78437767101002,-13.524728461093172,-6.59051505510415,0.11707696584182231
30.0,12.0,0.1,10.0,100,0.0,0.0,-12.101078580317107,-13.684543418194085,-7.097338273066998,0.11815391195171192
30.0,12.0,0.1,20.0,100,0.0,0.0,-11.767325071757227,-13.664022346335742,-7.8344658627402595,0.12333612131864827
30.0,12.0,0.2,0.0,100,0.05,0.22,-6.212945668240081,-12.092856058737357,7.664682315018313,0.21798379282019137
30.0,12.0,0.2,10.0,100,0.02,0.19,-7.518372587824047,-12.574817195379273,4.453579300147299,0.2136670704350347
30.0,12.0,0.2,20.0,100,0.02,0.17,-7.437778442748481,-12.641997677546078,3.046381292736082,0.204987179086212
30.0,12.0,0.3,0.0,100,0.19,0.5,-0.162783054392321,-9.554368654397809,20.141923150211962,0.29750824863689085
30.0,12.0,0.3,10.0,100,0.17,0.4,-3.220845722287777,-10.092166373581449,14.838933684609695,0.2985150437879911
30.0,12.0,0.3,20.0,100,0.13,0.39,-3.758115807072634,-10.584804068210281,12.380360362604243,0.29974371775521076
30.0,20.0,0.0,0.0,100,0.0,0.0,-13.067704917880178,-14.023486639653334,-10.378779221380535,0.05524309811289415
30.0,20.0,0.0,10.0,100,0.0,0.0,-13.127068061488103,-14.008272224226611,-10.82749041298409,0.05412380622804144
30.0,20.0,0.0,20.0,100,0.0,0.0,-12.97835695602862,-13.971182413517606,-10.503643805510505,0.05984755737974585
30.0,20.0,0.02,0.0,100,0.0,0.0,-12.847069948622015,-14.007616079042469,-9.886108029509885,0.05761891032312805
