mass_msun,snr_full_window,start_M,ratio_threshold_for_90pct_strong,zero_injection_false_positive_fraction,zero_injection_median_delta_bic
30.0,12.0,0.0,nan,0.0,-13.11835324702838
30.0,12.0,10.0,nan,0.0,-13.040720814482938
30.0,12.0,20.0,nan,0.0,-12.914357485524079
30.0,20.0,0.0,nan,0.0,-13.067704917880178
30.0,20.0,10.0,nan,0.0,-13.127068061488103
30.0,20.0,20.0,nan,0.0,-12.97835695602862
30.0,30.0,0.0,0.3,0.0,-12.515684126227484
30.0,30.0,10.0,0.3,0.0,-12.64810196044482
30.0,30.0,20.0,0.3,0.0,-12.148810221085341
30.0,40.0,0.0,0.2,0.0,-12.715047584597983
30.0,40.0,10.0,0.2,0.0,-12.763074107155035
30.0,40.0,20.0,0.2,0.0,-12.858530583856123
60.0,12.0,0.0,nan,0.0,-12.498189014385161
60.0,12.0,10.0,nan,0.0,-12.810580515859101
60.0,12.0,20.0,nan,0.0,-12.603283973548287
60.0,20.0,0.0,nan,0.0,-12.935113272598073
60.0,20.0,10.0,nan,0.0,-12.477414955650943
60.0,20.0,20.0,nan,0.0,-12.699184779244774
60.0,30.0,0.0,0.2,0.0,-12.881515010851444
60.0,30.0,10.0,0.2,0.0,-12.931722511093199
60.0,30.0,20.0,0.2,0.0,-12.720910756859325
60.0,40.0,0.0,0.2,0.0,-12.481123195587998
60.0,40.0,10.0,0.2,0.0,-12.085088879416617
60.0,40.0,20.0,0.2,0.0,-12.314272322965849
100.0,12.0,0.0,nan,0.0,-13.083122868726832
100.0,12.0,10.0,nan,0.0,-12.84293097841703
100.0,12.0,20.0,nan,0.0,-12.949642158126949
100.0,20.0,0.0,nan,0.0,-12.74698531682634
100.0,20.0,10.0,nan,0.0,-12.866415930517064
100.0,20.0,20.0,nan,0.0,-12.634226115103502
100.0,30.0,0.0,0.2,0.0,-12.35918461003223
100.0,30.0,10.0,0.3,0.0,-12.63966059848201
100.0,30.0,20.0,0.3,0.0,-12.62437045054503
100.0,40.0,0.0,0.2,0.0,-13.252649122345701
100.0,40.0,10.0,0.2,0.0,-13.0482645231383
100.0,40.0,20.0,0.2,0.0,-13.120743270570301
180.0,12.0,0.0,nan,0.0,-12.90982581585672
180.0,12.0,10.0,nan,0.0,-12.868683526034488
180.0,12.0,20.0,nan,0.0,-12.759668296961763
180.0,20.0,0.0,nan,0.0,-12.5616061869855
180.0,20.0,10.0,nan,0.0,-12.70279151740101
180.0,20.0,20.0,nan,0.0,-12.710701411770174
180.0,30.0,0.0,0.3,0.0,-12.841687912862085
180.0,30.0,10.0,0.3,0.0,-13.126298824857551
180.0,30.0,20.0,0.3,0.0,-12.967565343476633
180.0,40.0,0.0,0.2,0.0,-12.894081439140534
180.0,40.0,10.0,0.2,0.0,-12.600016256123097
180.0,40.0,20.0,0.2,0.0,-12.691565141551303
