profile,kind,amp,Rmax,root_re,root_im,abs_D,relsv_max,success
baseline,baseline,0.0,25.0,0.3775148207214417,-0.02087170600647811,4.11685028038558e-08,1.8972769356233764e-12,True
baseline,baseline,0.0,40.0,0.37751480236022333,-0.020871645262682065,7.475623584389686e-08,1.9944776534036847e-12,True
baseline,baseline,0.0,60.0,0.37751480236022333,-0.020871645262682065,9.207173574361873e-08,1.9944776534036847e-12,True
tilt_plus,tilt,0.35,25.0,0.3775165423809047,-0.02087067021816187,3.541868185545987e-08,1.5957421461224635e-12,True
tilt_plus,tilt,0.35,40.0,0.37751653157657455,-0.020870613063183566,1.473178877444195e-08,1.642355868960027e-12,True
tilt_plus,tilt,0.35,60.0,0.3775165315778361,-0.02087061304100987,3.207498474587124e-08,1.6312672314285391e-12,True
tilt_minus,tilt,-0.35,25.0,0.37751273239719524,-0.020872953832071765,6.74237111120795e-09,2.1693284399173395e-12,True
tilt_minus,tilt,-0.35,40.0,0.3775127190871867,-0.020872900282051715,3.3298006652173494e-08,2.1420406771445506e-12,True
tilt_minus,tilt,-0.35,60.0,0.3775127190871867,-0.020872900282051715,6.486190561523895e-08,2.1420406771445506e-12,True
center_plus,center,0.45,25.0,0.3775132506184809,-0.020872642886630665,2.5916463489687535e-08,2.1388390206539042e-12,True
center_plus,center,0.45,40.0,0.37751324897374344,-0.02087257763775231,6.107575594356282e-08,2.064807811139888e-12,True
center_plus,center,0.45,60.0,0.3775132489640371,-0.020872577622019692,6.03006137268536e-08,2.1485358867122346e-12,True
center_minus,center,-0.45,25.0,0.3775163328826253,-0.02087080491701451,4.174183439085801e-08,1.7847640488593122e-12,True
center_minus,center,-0.45,40.0,0.3775163309459916,-0.020870733066330662,2.7469219888460088e-08,1.7396880212907912e-12,True
center_minus,center,-0.45,60.0,0.37751633308817906,-0.02087072963062611,6.863700548132427e-09,1.7743139619897255e-12,True
two_lobe_plus,two_lobe,0.35,25.0,0.37751600510916766,-0.020870992001005614,1.8996841477122678e-08,1.8811530597793796e-12,True
two_lobe_plus,two_lobe,0.35,40.0,0.37751599483448905,-0.020870941687169395,2.5146653102582395e-08,1.872962737964374e-12,True
two_lobe_plus,two_lobe,0.35,60.0,0.37751599483448905,-0.020870941687169395,4.420520666362247e-08,1.872962737964374e-12,True
two_lobe_minus,two_lobe,-0.35,25.0,0.37751359437954995,-0.02087241880080619,7.354338553230493e-08,2.12709339685908e-12,True
two_lobe_minus,two_lobe,-0.35,40.0,0.3775135872343601,-0.0208723709189331,1.4112348943195472e-08,2.0886838543502347e-12,True
two_lobe_minus,two_lobe,-0.35,60.0,0.37751358746081254,-0.020872370789934137,1.900008307177839e-08,2.0737745283246474e-12,True
