seed_re,seed_im,lambda_seed_pair,root_re,root_im,abs_D_final,success,in_window
0.35000000000000003,-0.047,"((-0.06+0.02j), (-0.15-0.02j))",0.3775148114965411,-0.020871653994053295,9.188505367039484e-08,True,True
0.35000000000000003,-0.047,"((-0.04+0.05j), (-0.18-0.05j))",0.3775148020812654,-0.02087175071177581,1.6375380862996738e-06,True,True
0.35000000000000003,-0.0265,"((-0.06+0.02j), (-0.15-0.02j))",0.37751481032256673,-0.020871642127070763,2.7832183274699527e-08,True,True
0.35000000000000003,-0.0265,"((-0.04+0.05j), (-0.18-0.05j))",0.3775148128934198,-0.020871646736010926,1.3468398714508157e-08,True,True
0.35000000000000003,-0.006,"((-0.06+0.02j), (-0.15-0.02j))",0.37751480483818584,-0.02087165755112763,1.384343545878307e-07,True,True
0.35000000000000003,-0.006,"((-0.04+0.05j), (-0.18-0.05j))",0.37751481852438423,-0.02087166048066518,2.4911399601794167e-07,True,True
0.37,-0.047,"((-0.06+0.02j), (-0.15-0.02j))",0.37506551513857656,-0.06400691949984057,0.21719772829119685,False,False
0.37,-0.047,"((-0.04+0.05j), (-0.18-0.05j))",0.3766062669077712,-0.0634293691163084,0.2102890083672882,False,False
0.37,-0.0265,"((-0.06+0.02j), (-0.15-0.02j))",0.3773298206891986,-0.02456259065557222,0.0697751080186891,False,True
0.37,-0.0265,"((-0.04+0.05j), (-0.18-0.05j))",0.37751481118365876,-0.020871634706339282,5.734815243175394e-08,True,True
0.37,-0.006,"((-0.06+0.02j), (-0.15-0.02j))",0.3775134090417973,-0.020873511351516348,3.8813642503942556e-05,True,True
0.37,-0.006,"((-0.04+0.05j), (-0.18-0.05j))",0.37751480267838683,-0.020871649994976146,7.428193191536352e-08,True,True
0.39,-0.047,"((-0.06+0.02j), (-0.15-0.02j))",0.3892458642596009,-0.04742828113275328,0.3697788554603741,False,True
0.39,-0.047,"((-0.04+0.05j), (-0.18-0.05j))",0.38905929808964235,-0.047319094975639735,0.3689365135438174,False,True
0.39,-0.0265,"((-0.06+0.02j), (-0.15-0.02j))",0.39000000453471967,-0.02650000196634658,0.707981880232966,False,True
0.39,-0.0265,"((-0.04+0.05j), (-0.18-0.05j))",0.39000001871314516,-0.026500008079971667,0.7079908705644709,False,True
0.39,-0.006,"((-0.06+0.02j), (-0.15-0.02j))",0.38953979735576694,0.0007770407985332597,0.26106533342560995,False,False
0.39,-0.006,"((-0.04+0.05j), (-0.18-0.05j))",0.39167463868569297,0.002731321716782267,0.2448241727799256,False,False
0.41,-0.047,"((-0.06+0.02j), (-0.15-0.02j))",0.4099999999997131,-0.046999999999520065,0.286731641199319,False,True
0.41,-0.047,"((-0.04+0.05j), (-0.18-0.05j))",0.4099996991826897,-0.04699949675758237,0.28673764614348574,False,True
0.41,-0.0265,"((-0.06+0.02j), (-0.15-0.02j))",0.40933548450316615,-0.031175743491897945,0.3102270001174965,False,True
0.41,-0.0265,"((-0.04+0.05j), (-0.18-0.05j))",0.41034657630575433,-0.030766417986241787,0.25897733763668895,False,True
0.41,-0.006,"((-0.06+0.02j), (-0.15-0.02j))",0.44700213284065166,-0.014987028469940336,0.00014413521737273297,False,False
0.41,-0.006,"((-0.04+0.05j), (-0.18-0.05j))",0.42745949104516345,-0.031248530781209722,0.02623673809551728,False,False
