k,theta,w_re,w_im,D_re,D_im,abs_D
0,0.0,0.3778148114965411,-0.020871653994053295,0.00507253039231197,0.00010228596011759262,0.005073561569407215
1,0.2617993877991494,0.37780458924442784,-0.02079400828052254,0.004856143137382511,0.0014012959405018057,0.005054281005604466
2,0.5235987755982988,0.3777746191176764,-0.020721653994053294,0.00430820348499867,0.002599878451449889,0.005031896782572965
3,0.7853981633974483,0.37772694353089703,-0.020659521959697332,0.0034667580194899347,0.0036141646435545365,0.0050080532381772324
4,1.0471975511965976,0.3776648114965411,-0.020611846372917964,0.002390379396296366,0.004373425299224047,0.004984050812956377
5,1.3089969389957472,0.37759245721007184,-0.020581876246166576,0.0011549246954888745,0.0048255218623000865,0.004961805346422425
6,1.5707963267948966,0.3775148114965411,-0.020571653994053293,-0.00015335994545136763,0.004940422567438192,0.00494280228389943
7,1.832595714594046,0.37743716578301034,-0.020581876246166576,-0.0014439328339123302,0.0047117917167141905,0.004928075000499338
8,2.0943951023931953,0.3773648114965411,-0.020611846372917964,-0.002628501363833291,0.0041573132661698875,0.004918564121036302
9,2.356194490192345,0.37730267946218515,-0.020659521959697332,-0.0036265376947900185,0.0033168828371198823,0.004914619762190493
10,2.6179938779914944,0.3772550038754058,-0.020721653994053294,-0.004371974750068249,0.002249330487057887,0.0049166707084410686
11,2.8797932657906435,0.37722503374865435,-0.02079400828052254,-0.0048159338441283285,0.0010277816350502298,0.004924383604103887
12,3.141592653589793,0.37721481149654107,-0.020871653994053295,-0.004930317680154998,-0.0002649035260913087,0.004937429119023844
13,3.4033920413889427,0.37722503374865435,-0.02094929970758405,-0.004708981917186819,-0.0015421788556919832,0.004955080859010868
14,3.665191429188092,0.3772550038754058,-0.021021653994053296,-0.004167467996366835,-0.0027191642389508635,0.004976107279704793
15,3.926990816987241,0.37730267946218515,-0.021083786028409258,-0.0033421268879832307,-0.0037180345699438276,0.004999359278815422
16,4.1887902047863905,0.3773648114965411,-0.021131461615188626,-0.0022876094960121766,-0.004472281772688137,0.0050233914301558895
17,4.4505895925855405,0.37743716578301034,-0.021161431741940014,-0.0010736306941832652,-0.004931159136735892,0.005046683395984565
18,4.71238898038469,0.3775148114965411,-0.021171653994053297,0.00021950469463461494,-0.005062178870861197,0.005066935684569144
19,4.974188368183839,0.37759245721007184,-0.021161431741940014,0.0015051463443290151,-0.004855156278262784,0.005083110072013149
20,5.235987755982989,0.3776648114965411,-0.021131461615188626,0.00269608448402176,-0.004322254175975442,0.005094188130283375
21,5.497787143782138,0.37772694353089703,-0.021083786028409258,0.0037104788442564253,-0.003497134764975288,0.005098784641272198
22,5.759586531581287,0.3777746191176764,-0.021021653994053296,0.004477712181494068,-0.0024344854026573785,0.005096726945408418
23,6.021385919380436,0.37780458924442784,-0.02094929970758405,0.00494279127212132,-0.001206572079454629,0.0050879270575233445
24,6.283185307179586,0.3778148114965411,-0.020871653994053295,0.00507253039231197,0.00010228596011759262,0.005073561569407215
